usage_kWh,max_demand_kW,reactive_usage_kWh_kVarh_inductive,reactive_usage_kWh_kVarh_capacitive,CO2_tCO2,usage_kWh_factor_inductive,usage_kWh_factor_capacitive
0.3641170590264918,0.48775125937188457,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.3545175563511082,0.4796471153143886,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.40140512605916523,0.519116847016967,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.35933167828766766,0.48371285379425827,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.35933167828766766,0.48371285379425827,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.3641170590264918,0.48775125937188457,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.3617279398420393,0.4857354502075945,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.3617279398420393,0.4857354502075945,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.3617279398420393,0.4857354502075945,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.35933167828766766,0.48371285379425827,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.35933167828766766,0.48371285379425827,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.3545175563511082,0.4796471153143886,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.35933167828766766,0.48371285379425827,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.3617279398420393,0.4857354502075945,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.3617279398420393,0.4857354502075945,-0.6401779949048535,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.6348377401177928,0.711889505582159,-0.3145644781066874,0.0,-0.6276920297947559,0.4442546128209904,0.0
1.047346859057933,1.0415882118064619,0.307934094040515,0.0,1.4137458400367882,0.2966391100241514,0.0
1.0463290190570835,1.040787264264799,0.293483701496346,0.0,1.4137458400367882,0.3058719419214121,0.0
1.0442894533434983,1.0391821582536884,0.293483701496346,0.0,1.4137458400367882,0.3058719419214121,0.0
1.0463290190570835,1.040787264264799,0.307934094040515,0.0,1.4137458400367882,0.2966391100241514,0.0
1.0463290190570835,1.040787264264799,0.293483701496346,0.0,1.4137458400367882,0.3058719419214121,0.0
1.0463290190570835,1.040787264264799,0.293483701496346,0.0,1.4137458400367882,0.3058719419214121,0.0
1.0453098849172962,1.0399852473669555,0.293483701496346,0.0,1.4137458400367882,0.3058719419214121,0.0
1.0432677210280181,1.0383779940542726,0.293483701496346,0.0,1.4137458400367882,0.3058719419214121,0.0
1.0391677177511844,1.0351505285752571,0.293483701496346,0.0,1.4137458400367882,0.2966391100241514,0.0
1.0503926469898996,1.0439846667158277,0.4706803072332766,0.0,1.4137458400367882,0.18577362005484543,0.0
0.9374033689088571,0.9547634197011756,2.264675056304108,0.0,1.4137458400367882,0.2874053620350184,0.0
0.7749988331006861,0.8252106911619395,1.9926640554944108,0.0,-0.6276920297947559,0.3889262348344619,0.0
0.4897185296804831,0.592728624623401,-0.5849198959735786,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.5839007411886655,0.670296270029893,-0.48050910566330796,0.0,-0.6276920297947559,0.4811219319253786,0.0
0.8692489252277366,0.9005999777262317,-0.05025661798554795,0.0,1.4137458400367882,0.3981499158006489,0.0
0.5314442489779311,0.6272050848642086,-0.5849198959735786,0.0,-0.6276920297947559,0.49033648008206543,0.0
0.5429775255537668,0.6367026829790869,-0.4555721551652878,0.0,-0.6276920297947559,0.4719064713016963,0.0
1.1136928934966084,1.0936900894085189,-0.4555721551652878,0.0,1.4137458400367882,0.4713944745089919,0.0
1.5675853217726974,1.4456370163593506,-0.4555721551652878,0.0,1.4137458400367882,0.4708824748994554,0.0
1.2933021213048255,1.2337956065144542,-0.4555721551652878,0.0,1.4137458400367882,0.47037047247300395,0.0
1.3000096825642486,1.2390041122714752,-0.4555721551652878,0.0,1.4137458400367882,0.4698584672296377,0.0
1.2804770654115885,1.2238323735943888,-0.4555721551652878,0.0,1.4137458400367882,0.46934645916935663,0.0
1.3117973787241795,1.2481536171597623,-0.4555721551652878,0.0,1.4137458400367882,0.46883444829216064,0.0
1.4836060499764498,1.3810053492346883,-0.4555721551652878,0.0,1.4137458400367882,0.46832243459788453,0.0
1.570768180592782,1.4480830756627943,-0.4555721551652878,0.0,1.4137458400367882,0.4678104180866109,0.0
1.5278129303024108,1.4150503042347322,-0.4555721551652878,0.0,1.4137458400367882,0.46729839875825707,0.0
1.4608570563616357,1.3634651084561904,-0.4555721551652878,0.0,1.4137458400367882,0.4667863766128231,0.0
1.4504670281674983,1.3554492284130077,-0.4555721551652878,0.0,1.4137458400367882,0.46627435165030895,0.0
1.4871397025457889,1.383728635654368,-0.4555721551652878,0.0,1.4137458400367882,0.46576232387054933,0.0
1.4547615981430015,1.3587628490853625,-0.4555721551652878,0.0,1.4137458400367882,0.4652502932736269,0.0
1.5405581864153077,1.4248563012909097,-0.4555721551652878,0.0,1.4137458400367882,0.4647382598595416,0.0
1.5227699636246028,1.4111691743625476,-0.4555721551652878,0.0,1.4137458400367882,0.4642262236281282,0.0
1.5422057695091989,1.4261236236328074,-0.4555721551652878,0.0,1.4137458400367882,0.463714184579552,0.0
1.0918613195311564,1.0765683070105392,-0.4555721551652878,0.0,1.4137458400367882,0.46320214271356497,0.0
0.39912475782704837,0.5172037544215072,-0.4555721551652878,0.0,-0.6276920297947559,0.4626900980302498,0.0
