max_demand_kW,reactive_usage_kWh_kVarh_inductive,reactive_usage_kWh_kVarh_capacitive,CO2_tCO2,usage_kWh_factor_inductive,usage_kWh_factor_capacitive,usage_kWh
-1.1307186459150425,-0.8772052506600332,0.0,0.0,-0.9648737356581796,0.0,-1.0374090635810242
-1.0046731754792906,-0.8504339942658691,0.0,0.0,-0.3854565528054457,0.0,-0.9640010860058267
-1.0974440580587603,-0.8772052506600332,0.0,0.0,-0.7125591825346468,0.0,-1.0186290992444604
-1.0654021496051216,-0.8772052506600332,0.0,0.0,-0.4970044193807385,0.0,-1.00014030890259
-1.0654021496051216,-0.8504339942658691,0.0,0.0,-0.7713969849929788,0.0,-1.00014030890259
-1.0345048428724675,-0.8772052506600332,0.0,0.0,-0.3125739889447973,0.0,-0.9819338012201847
-1.0654021496051216,-0.8772052506600332,0.0,0.0,-0.4970044193807385,0.0,-1.00014030890259
-1.0654021496051216,-0.8504339942658691,0.0,0.0,-0.7713969849929788,0.0,-1.00014030890259
-1.0654021496051216,-0.8772052506600332,0.0,0.0,-0.4970044193807385,0.0,-1.00014030890259
-1.1653245655068738,-0.9044190271461467,0.0,0.0,-0.91137352217113,0.0,-1.0564895200671789
-1.0046731754792906,-0.8504339942658691,0.0,0.0,-0.3854565528054457,0.0,-0.9640010860058267
-1.0654021496051216,-0.8772052506600332,0.0,0.0,-0.4970044193807385,0.0,-1.00014030890259
-1.0974440580587603,-0.8772052506600332,0.0,0.0,-0.7125591825346468,0.0,-1.0186290992444604
-1.0345048428724675,-0.8504339942658691,0.0,0.0,-0.5650574566866101,0.0,-0.9819338012201847
-1.0974440580587603,-0.8772052506600332,0.0,0.0,-0.7125591825346468,0.0,-1.0186290992444604
-1.0345048428724675,-0.8772052506600332,0.0,0.0,-0.3125739889447973,0.0,-0.9819338012201847
-1.0345048428724675,-0.8240910963994724,0.0,0.0,-0.8240354902464552,0.0,-0.9819338012201847
-1.0974440580587603,-0.8772052506600332,0.0,0.0,-0.7125591825346468,0.0,-1.0186290992444604
-1.0974440580587603,-0.9044190271461467,0.0,0.0,-0.420029709164757,0.0,-1.0186290992444604
-1.0654021496051216,-0.8504339942658691,0.0,0.0,-0.7713969849929788,0.0,-1.00014030890259
-1.0654021496051216,-0.8772052506600332,0.0,0.0,-0.4970044193807385,0.0,-1.00014030890259
-1.0654021496051216,-0.8772052506600332,0.0,0.0,-0.4970044193807385,0.0,-1.00014030890259
-1.0345048428724675,-0.8504339942658691,0.0,0.0,-0.5650574566866101,0.0,-0.9819338012201847
-1.0345048428724675,-0.9320901993824413,0.0,0.0,0.16737497273535284,0.0,-0.9819338012201847
-1.0974440580587603,-0.8772052506600332,0.0,0.0,-0.7125591825346468,0.0,-1.0186290992444604
-0.5060485561064336,-0.6743155253594844,0.0,0.0,0.4728367177362312,0.0,-0.6120730910432655
0.02944055496228842,-0.13060693564285564,0.0,0.0,0.24451495801594758,0.0,-0.1285546970039648
0.7585701242315952,1.1581249033442962,0.0,0.0,-0.5554550743336427,0.0,0.6712265071524288
0.735346377074236,1.4253033718041532,0.0,0.0,-1.393470434839073,0.0,0.6438114356469954
0.9466174061715674,1.5411133179679974,0.0,0.0,-0.7681176937254696,0.0,0.8968981763545971
1.3260690945287759,1.956256432483065,0.0,0.0,-0.3073915228500555,0.0,1.369148740834515
1.3475981669972228,1.8567460292424158,0.0,0.0,-0.5341545476855213,0.0,1.396506633030434
1.275050028145721,1.750831961829789,0.0,0.0,-0.08339403931640242,0.0,1.3045336359515367
1.2429287898321626,1.9122194419066143,0.0,0.0,-0.5012420790687082,0.0,1.2640143442628824
1.1086739150774358,2.0131979922059093,0.0,0.0,-1.305802116252191,0.0,1.096110688402593
1.0748995827753391,1.5411133179679974,0.0,0.0,-0.30117666075675914,0.0,1.0542641811185713
1.4163171316883476,1.4451796211636,0.0,0.0,0.6369558761469551,0.0,1.4841779062619174
1.100996060314063,1.0529139398798,0.0,0.0,0.5426161462636554,0.0,1.0865833161057126
1.3456629701623266,0.8766606696475784,0.0,0.0,0.9918734561046066,0.0,1.3940453254707164
1.188917014979849,1.1264624661419338,0.0,0.0,0.6071773037276683,0.0,1.1961759745438916
1.2252969412066086,1.1502661963363314,0.0,0.0,0.6388136362615724,0.0,1.2418276002965893
1.333959982764594,1.4517520689824899,0.0,0.0,0.49080685753552605,0.0,1.379169834170206
1.4163171316883476,1.6838506843077359,0.0,0.0,0.36614176758891165,0.0,1.4841779062619174
1.6176945846572606,1.4451796211636,0.0,0.0,0.890528654517783,0.0,1.7438634951324172
1.5830597950382455,1.3292363581858702,0.0,0.0,0.9301316751857397,0.0,1.6989287063637528
1.1935490615200506,0.9759255559012402,0.0,0.0,0.7623830370451916,0.0,1.2019789207362384
1.2252969412066086,0.8294827714086159,0.0,0.0,0.9148520022587534,0.0,1.2418276002965893
1.1677602712283275,0.8485164630761273,0.0,0.0,0.8398610524431928,0.0,1.1697074950964843
1.158188581597383,1.1502661963363314,0.0,0.0,0.5275763435022245,0.0,1.1577524767817706
1.1981564365902133,1.4842264155349338,0.0,0.0,0.15461485038310868,0.0,1.2077537653841384
1.5392704357414924,1.4906451214902483,0.0,0.0,0.7687898762842235,0.0,1.6422717127508577
1.1842600313260239,1.0612501399282885,0.0,0.0,0.6675579956923274,0.0,1.1903446519737317
0.8894568465271319,0.7000920582934992,0.0,0.0,0.6034477611120553,0.0,0.8276365975651426
1.205021810915881,0.625965249725937,0.0,0.0,1.024800675798322,0.0,1.2163639333983354
0.7234964297875249,0.4549053728982516,0.0,0.0,0.634168487387984,0.0,0.629863872096325
1.1533627245933697,0.5708967051302207,0.0,0.0,1.0176918936322537,0.0,1.1517297211041144
0.8762247319324569,0.5139223005849317,0.0,0.0,0.7870690172636614,0.0,0.8116831410447237
0.71148189464427,0.01693016327502627,0.0,0.0,1.0372269992141687,0.0,0.6157512447915892
0.585831705071009,-0.31171196866065387,0.0,0.0,1.1613921922222088,0.0,0.4699590177057693
0.41068919223837924,-0.13060693564285564,0.0,0.0,0.8986440417115371,0.0,0.2726894846445832
1.0258452215601372,0.6367613277042948,0.0,0.0,0.8543678305887326,0.0,0.9937862765418382
0.8211742632499149,0.7510681424370445,0.0,0.0,0.4101223404364895,0.0,0.7456453376230638
1.0984215565553075,0.9671447564624596,0.0,0.0,0.6350977168145163,0.0,1.0833905348427981
1.2580672471135084,1.1891899002816655,0.0,0.0,0.6499518229715323,0.0,1.2830948007490375
1.0534403086916178,1.1344353436705354,0.0,0.0,0.34310627099451296,0.0,1.0277630218479388
0.7774580498253223,1.0019904167844234,0.0,0.0,-0.14012208808536245,0.0,0.6936005797887251
0.817614453187321,1.110399938812815,0.0,0.0,-0.24132883516616108,0.0,0.7413939852081942
0.7623808468015029,1.094179157435207,0.0,0.0,-0.39068603250534273,0.0,0.6757350308189617
